Comunidad_Autonoma,Año,Trimestre,Periodo,Valor_Tasado_€_m2
Comunidad Valenciana,1996,4,1996T4,506.2
Coruña (A),1996,4,1996T4,713.8
Cuenca,1996,4,1996T4,477.0
Cáceres,1996,4,1996T4,438.6
Cádiz,1996,4,1996T4,504.9
Córdoba,1996,4,1996T4,478.7
Extremadura,1996,4,1996T4,419.8
Galicia,1996,4,1996T4,622.3
Gipuzkoa,1996,4,1996T4,994.7
Girona,1996,4,1996T4,607.7
Granada,1996,4,1996T4,490.2
Guadalajara,1996,4,1996T4,647.9
Huelva,1996,4,1996T4,507.3
Huesca,1996,4,1996T4,488.4
Jaén,1996,4,1996T4,381.4
León,1996,4,1996T4,528.1
Lleida,1996,4,1996T4,503.7
Lugo,1996,4,1996T4,460.7
Madrid (Comunidad de),1996,4,1996T4,1083.6
Murcia (Región de),1996,4,1996T4,433.4
Málaga,1996,4,1996T4,528.8
Navarra (Comunidad Foral de),1996,4,1996T4,741.2
Ourense,1996,4,1996T4,552.4
Palencia,1996,4,1996T4,544.4
Palmas (Las),1996,4,1996T4,636.2
País Vasco,1996,4,1996T4,970.5
Pontevedra,1996,4,1996T4,591.7
Rioja (La),1996,4,1996T4,599.8
Salamanca,1996,4,1996T4,630.8
Santa Cruz de Tenerife,1996,4,1996T4,631.3
Segovia,1996,4,1996T4,669.0
Sevilla,1996,4,1996T4,508.0
Soria,1996,4,1996T4,660.7
TOTAL NACIONAL,1996,4,1996T4,694.4
Tarragona,1996,4,1996T4,505.6
Teruel,1996,4,1996T4,464.4
Toledo,1996,4,1996T4,471.6
Valencia/València,1996,4,1996T4,489.5
Valladolid,1996,4,1996T4,676.6
Zamora,1996,4,1996T4,502.4
Zaragoza,1996,4,1996T4,626.2
Ávila,1996,4,1996T4,611.2
Albacete,1997,1,1997T1,461.6
Alicante/Alacant,1997,1,1997T1,506.9
Almería,1997,1,1997T1,478.3
Andalucía,1997,1,1997T1,509.2
Araba/Alava,1997,1,1997T1,1004.3
Aragón,1997,1,1997T1,581.1
Asturias (Principado de ),1997,1,1997T1,677.9
Badajoz,1997,1,1997T1,403.3
Balears (Illes),1997,1,1997T1,627.5
Barcelona,1997,1,1997T1,914.4
Bizkaia,1997,1,1997T1,912.0
Burgos,1997,1,1997T1,730.3
Canarias,1997,1,1997T1,647.2
Cantabria,1997,1,1997T1,753.2
Castellón/Castelló,1997,1,1997T1,499.7
Castilla y León,1997,1,1997T1,640.2
Castilla-La Mancha,1997,1,1997T1,519.5
Cataluña,1997,1,1997T1,781.3
Ciudad Real,1997,1,1997T1,424.9
Comunidad Valenciana,1997,1,1997T1,515.6
Coruña (A),1997,1,1997T1,663.7
Cuenca,1997,1,1997T1,465.4
Cáceres,1997,1,1997T1,430.7
Cádiz,1997,1,1997T1,513.6
Córdoba,1997,1,1997T1,475.2
Extremadura,1997,1,1997T1,413.1
Galicia,1997,1,1997T1,607.4
Gipuzkoa,1997,1,1997T1,984.7
Girona,1997,1,1997T1,612.6
Granada,1997,1,1997T1,501.7
Guadalajara,1997,1,1997T1,657.6
Huelva,1997,1,1997T1,503.5
Huesca,1997,1,1997T1,484.7
Jaén,1997,1,1997T1,397.4
León,1997,1,1997T1,530.1
Lleida,1997,1,1997T1,518.0
Lugo,1997,1,1997T1,495.9
Madrid (Comunidad de),1997,1,1997T1,1054.8
Murcia (Región de),1997,1,1997T1,437.1
Málaga,1997,1,1997T1,528.8
Navarra (Comunidad Foral de),1997,1,1997T1,744.3
Ourense,1997,1,1997T1,595.4
Palencia,1997,1,1997T1,574.0
Palmas (Las),1997,1,1997T1,667.0
País Vasco,1997,1,1997T1,938.7
Pontevedra,1997,1,1997T1,587.9
Rioja (La),1997,1,1997T1,629.1
Salamanca,1997,1,1997T1,674.7
Santa Cruz de Tenerife,1997,1,1997T1,622.2
Segovia,1997,1,1997T1,643.3
Sevilla,1997,1,1997T1,506.6
Soria,1997,1,1997T1,673.7
TOTAL NACIONAL,1997,1,1997T1,691.0
Tarragona,1997,1,1997T1,494.8
Teruel,1997,1,1997T1,465.3
Toledo,1997,1,1997T1,469.1
Valencia/València,1997,1,1997T1,500.6
Valladolid,1997,1,1997T1,684.9
Zamora,1997,1,1997T1,508.0
Zaragoza,1997,1,1997T1,603.5
Ávila,1997,1,1997T1,607.8
Albacete,1997,2,1997T2,443.0
Alicante/Alacant,1997,2,1997T2,509.9
Almería,1997,2,1997T2,473.2
Andalucía,1997,2,1997T2,516.1
Araba/Alava,1997,2,1997T2,1020.7
Aragón,1997,2,1997T2,581.1
Asturias (Principado de ),1997,2,1997T2,685.0
Badajoz,1997,2,1997T2,408.2
Balears (Illes),1997,2,1997T2,648.3
Barcelona,1997,2,1997T2,921.0
Bizkaia,1997,2,1997T2,934.0
Burgos,1997,2,1997T2,784.5
Canarias,1997,2,1997T2,674.7
Cantabria,1997,2,1997T2,775.9
Castellón/Castelló,1997,2,1997T2,505.2
Castilla y León,1997,2,1997T2,648.8
Castilla-La Mancha,1997,2,1997T2,524.2
Cataluña,1997,2,1997T2,787.1
Ciudad Real,1997,2,1997T2,432.9
Comunidad Valenciana,1997,2,1997T2,519.7
Coruña (A),1997,2,1997T2,650.9
Cuenca,1997,2,1997T2,461.8
Cáceres,1997,2,1997T2,433.4
Cádiz,1997,2,1997T2,520.8
Córdoba,1997,2,1997T2,476.4
Extremadura,1997,2,1997T2,416.5
Galicia,1997,2,1997T2,622.3
Gipuzkoa,1997,2,1997T2,989.7
Girona,1997,2,1997T2,622.5
Granada,1997,2,1997T2,520.1
Guadalajara,1997,2,1997T2,657.6
